,expediente,tipo de contrato,estado,importe,fechas,organo de contratacion
190,"GEY/2022/108
Suministro de material de oficina no inventariable para el almacén de compras del Ayuntamiento de A Coruña.","Suministros
Adquisición",Resuelta,"35.107,10","Publicación PLACSP:
Adjudicación:23/12/2022
Formalización:25/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
191,"231/2022/81
Diseño y ejecución del Servicio de Clases de Español para personas extranjeras en las Bibliotecas Municipales","Servicios
Otros servicios",Adjudicada,"10.860,18","Publicación PLACSP:
Adjudicación:23/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
192,"237/2022/155
Servicio de Atención a la Infancia para la conciliación de la vida laboral, familiar y personal (también denominado “Servicio de Canguros Municipales”), en su modalidad de espacios de atención a la infancia y ludotecas.","Servicios
Servicios sociales y de salud",Resuelta,"550.814,16","Publicación PLACSP:
Adjudicación:14/12/2022
Formalización:19/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
193,"GEY/2022/84
Servicios complementarios para el funcionamiento del Fórum Metropolitano","Servicios
Otros servicios",Resuelta,"146.878,76","Publicación PLACSP:
Adjudicación:16/12/2022
Formalización:19/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
194,"631/2020/47
Servicios de asistencia técnica para la redacción del Plan Especial de Protección y Reforma Interior del PE Q14 ""Parque de La Torre"" previsto en el PGOM de A Coruña.","Servicios
Otros servicios",Resuelta,"157.248,38","Publicación PLACSP:
Adjudicación:16/12/2022
Formalización:18/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
195,"A31/2020/52
Servicio de adecuación continua a la normativa de seguridad de la información y de protección de datos de los servicios TI municipales","Servicios
Servicios de consultores de dirección y servicios conexos",Resuelta,"105.750,00","Publicación PLACSP:
Adjudicación:24/02/2021
Formalización:09/04/2021",Junta de Gobierno del Ayuntamiento de A Coruña
196,"541/2022/1698
Servicio de mantenimiento, conservación y seguridad de funcionamiento de las instalaciones del elevador panorámico del Monte de San Pedro","Servicios
Servicios de mantenimiento y reparación",Evaluación,"479.252,18",Present. Oferta:16/02/2023,Junta de Gobierno del Ayuntamiento de A Coruña
197,"831/2022/72
Suministro de una cabina de limpieza, desinfección y secado de los equipos de protección individual del Servicio de Prevención, Extinción de incendios y Salvamento del Ayuntamiento de A Coruña","Suministros
Adquisición",Resuelta,"75.208,86","Publicación PLACSP:
Adjudicación:19/12/2022
Formalización:16/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
198,"851/2022/111
Suministro de la tarjeta ciudadana para el Ayuntamiento de A Coruña - Tarjeta Millennium","Suministros
Adquisición",Resuelta,"198.720,00","Publicación PLACSP:
Adjudicación:12/12/2022
Formalización:16/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
199,"831/2022/34
Suministro de mobiliario para los dormitorios del Servicio de Extinción y Salvamento del Ayuntamiento de A Coruña","Suministros
Adquisición",Resuelta,"103.456,90","Publicación PLACSP:
Adjudicación:25/11/2022
Formalización:13/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
200,"521/2020/651
Ejecución de las obras contenidas en el proyecto denominado “Pista de Skate, multideportes y reurbanización de la Plaza José Toubes”","Obras
Construcción",Resuelta,"371.985,15","Publicación PLACSP:
Adjudicación:30/12/2022
Formalización:11/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
201,"851/2022/55
Asistencia Técnica para la consultoría de Movilidad para el análisis y seguimiento de la Zona de bajas emisiones, en el marco del Plan de Recuperación, Transformación y Resiliencia - Fondos Next Generation, financiado por la Unión Europea.","Servicios
Servicios de arquitectura; servicios de ingeniería y servicios integrados de ingeniería; servicios de planificación urbana y servicios de arquitectura paisajista. Servicios conexos de consultores en ciencia y tecnología. Servicios de ensayos y anílisis técnicos",Resuelta,"182.446,55","Publicación PLACSP:
Adjudicación:26/10/2022
Formalización:05/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
202,"541/2022/2626-3
INFORMACIÓN PÚBLICA de la estructura de costes y justificación de la fórmula de revisión de precios de las instalaciones de la planta de TRU de Nostián",Concesión de Servicios,Anuncio Previo,"0,00",Present. Oferta:02/02/2023,Junta de Gobierno del Ayuntamiento de A Coruña
203,"521/2021/241
Obras de Saneamiento Separativo en la calle Torino (POS+2022) Plan Provincial de Cooperación a las Obras y Servicios de Competencia Municipal (Plan Único de Ayuntamientos)","Obras
Construcción",Resuelta,"91.347,89","Publicación PLACSP:
Adjudicación:30/12/2022
Formalización:03/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
204,"851/2022/78
Monitorización y Sensorización de zonas peatonales reguladas y zonas de carga y descarga para la implantación de la zona de bajas emisiones en A Coruña, en el Marco del Plan de Recuperación, Transformación y Resiliencia-Fondos NEXT GENERATION, Financiado por la Unión Europea.","Suministros
Adquisición",Resuelta,"841.378,53","Publicación PLACSP:
Adjudicación:29/11/2022
Formalización:01/01/2023",Junta de Gobierno del Ayuntamiento de A Coruña
205,"527/2022/24
Servicios de conserjería de las dependencias municipales de Accede-Papagaio y CME de A Grela","Servicios
Otros servicios",Resuelta,"74.064,28","Publicación PLACSP:
Adjudicación:02/12/2022
Formalización:30/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
206,"541/2021/1931
Servicios de asistencia necesaria para la realización del Mapa estratégico de ruido (MER) del Ayuntamiento de A Coruña, correspondiente a la 4ª fase.","Servicios
Otros servicios",Resuelta,"31.859,33","Publicación PLACSP:
Adjudicación:16/12/2022
Formalización:29/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
207,"851/2022/43
Suministro de aparcabicicletas seguros para la ciudad de A Coruña, en el marco del Plan Nacional de Recuperación, Transformación y Resiliencia - (cofinanciado al 90% por los fondos procedentes del Plan de Recuperación, Transformación y Resiliencia, financiado por la Unión Europea - Next Generation)","Suministros
Adquisición",Resuelta,"184.255,00","Publicación PLACSP:
Adjudicación:10/11/2022
Formalización:29/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
208,"239/2022/356
Contrato de servicio de puesta a disposicion de 8 carrozas para la cabalgata de reyes del 5 de enero de 2023","Servicios
Servicios de mantenimiento y reparación",Adjudicada,"97.874,68","Publicación PLACSP:
Adjudicación:28/12/2022",Consejo Rector del Instituto Municipal de Coruña Espactáculos
209,"236/2022/59
Desarrollo de Programas Educativos Municipales","Servicios
Otros servicios",Resuelta,"18.003,28","Publicación PLACSP:
Adjudicación:28/12/2022
Formalización:29/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
210,"105/2021/6227
Obras de reforma de la eficiencia energética del Centro Cívico de Elviña, confinanciadas en 80 % por el Fondo Europeo de Desarrollo Regional (FEDER) en el marco del Programa Operativo Plurirregional de España 2014-2020","Obras
Otros acabados de edificios y obras",Resuelta,"499.314,50","Publicación PLACSP:
Adjudicación:14/12/2022
Formalización:28/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
211,"GEY/2022/129
Suministro por lotes y precios unitarios del papel blanco tamaño A3, A4 (lote I) y del material de imprenta (sobres membretados y carpetas de expediente-lote II) para el Ayuntamiento de A Coruña","Suministros
Adquisición",Parcialmente Resuelta,"31.276,15","Publicación PLACSP:
Adjudicación:13/12/2022
Formalización:23/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
212,"831/2022/73
Suministro de un equipo de rescate hidráulico a batería para el Servicio de Extinción de Incendios y Salvamento del Ayuntamiento de A Coruña","Suministros
Adquisición",Adjudicada,"49.043,61","Publicación PLACSP:
Adjudicación:21/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
213,"236/2022/154
Prestación de los Servicios de Asesoramiento, Coordinación y Organización de acciones de difusión de la cultura científica y tecnológica dentro del marco de programa Imaxina Coruña","Servicios
Otros servicios",Adjudicada,"22.800,00","Publicación PLACSP:
Adjudicación:19/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
214,"541/2021/787
Servicios de residencia y esterilización de animales domésticos","Servicios
Otros servicios",Resuelta,"132.231,41","Publicación PLACSP:
Adjudicación:19/10/2022
Formalización:17/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
215,"541/2021/232
Servicio de limpieza y mantenimiento de aseos públicos en diferentes puntos de la ciudad de A Coruña","Servicios
Otros servicios",Resuelta,"362.416,00","Publicación PLACSP:
Adjudicación:19/10/2022
Formalización:16/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
216,"541/2022/2626-2
INFORMACIÓN PÚBLICA del anteproyecto de adecuación de las instalaciones de la planta de TRU de Nostián",Concesión de Servicios,Anuncio Previo,"0,00",Present. Oferta:16/01/2023,Junta de Gobierno del Ayuntamiento de A Coruña
217,"211/2022/7
Arrendamiento de una nave o local para su utilización como almacén por la Concejalía de Deportes así como por otros departamentos del Ayuntamiento de A Coruña","Patrimonial
Arrendamiento de inmuebles",Resuelta,"26.446,28","Publicación PLACSP:
Adjudicación:12/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
218,"510/2022/29
Prestación del Servicio de Consultoría en tienda denominado ""Tiendas a examen por barrios""","Servicios
Otros servicios",Resuelta,"27.886,26","Publicación PLACSP:
Adjudicación:01/12/2022
Formalización:12/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
219,"521/2021/525
Obras ronda peatonal tramo Centro Comercial Cuatro Caminos (cofinanciadas por los fondos procedentes del plan de recuperación, transformación y resiliencia, financiado por la Unión Europea - Next Generation)","Obras
Construcción",Resuelta,"794.134,75","Publicación PLACSP:
Adjudicación:03/08/2022
Formalización:16/08/2022",Junta de Gobierno del Ayuntamiento de A Coruña
220,"541/2022/2626
INFORMACIÓN PÚBLICA del estudio de viabilidad de la explotación del centro de tratamiento de residuos de Nostián",Concesión de Servicios,Anuncio Previo,"0,00",Present. Oferta:09/01/2023,Junta de Gobierno del Ayuntamiento de A Coruña
221,"GEY/2022/132
Instalación del Nacimiento Artístico Municipal","Servicios
Otros servicios",Resuelta,"6.800,00","Publicación PLACSP:
Adjudicación:02/12/2022
Formalización:05/12/2022",Junta de Gobierno del Ayuntamiento de A Coruña
222,"231/2022/79
Procedimiento abierto simplificado abreviado para contratar el servicio de mantenimiento del ascensor de la biblioteca municipal del Castrillón","Servicios
Servicios de mantenimiento y reparación",Adjudicada,"875,46","Publicación PLACSP:
Adjudicación:29/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
223,"831/2022/30
Suministro e instalación d hidrantes en varias zonas de A Coruña","Suministros
Adquisición",Resuelta,"125.027,71","Publicación PLACSP:
Adjudicación:03/10/2022
Formalización:30/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
224,"831/2022/51
Suministro de un vehículo autocar de 24 plazas, más conductor, abarcará la formación y homologación, destinado al Servicio de Prevención y Extinción de Incendios y Salvamento del Ayuntamiento de A Coruña","Suministros
Adquisición",Resuelta,"123.966,70","Publicación PLACSP:
Adjudicación:25/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
225,"6A1/2021/47
Ejecución de las obras descritas en el Proyecto de Demolición de estructura en Xubias de Arriba","Obras
Demolición de inmuebles y movimientos de tierras",Resuelta,"117.893,01","Publicación PLACSP:
Adjudicación:21/11/2022
Formalización:28/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
226,"510/2022/4035
Servicio de decoración y realización de acciones de dinamización de un Mercado navideño","Servicios
Otros servicios",Adjudicada,"24.757,54","Publicación PLACSP:
Adjudicación:25/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
227,"236/2022/160
Procedimiento abierto simplificado abreviado para contratar la prestación de servicio para el desarrollo del programa O CINEMA NA ESCOLA","Servicios
Servicios de esparcimiento, culturales y deportivos",Adjudicada,"25.027,34","Publicación PLACSP:
Adjudicación:24/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
228,"239/2022/350
Adquisión de un proyector para el Teatro Rosalía de Castro","Suministros
Adquisición",Adjudicada,"20.952,07","Publicación PLACSP:
Adjudicación:25/11/2022",Presidencia del Instituto Municipal Coruña Espectáculos
229,"861/2022/124
Suministro de boletines y actas de denuncias de tráfico, ordenanzas municipales y seguridad ciudadana para la policía local","Suministros
Adquisición",Adjudicada,"13.220,54","Publicación PLACSP:
Adjudicación:21/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
230,"106/2022/148
Ejecución de las obras comprendidas en el Proyecto de Reurbanización del ARI Grupo de viviendas María Pita - Labañou, Fase 1","Obras
Construcción",Resuelta,"613.258,01","Publicación PLACSP:
Adjudicación:19/10/2022
Formalización:22/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
231,"370/2021/63
Servicio de recogida, transporte y custodia y procesado de efectivo recaudado en la Caja Municipal y dependencias Museos Científicos","Servicios
Otros servicios",Resuelta,"34.710,75","Publicación PLACSP:
Adjudicación:19/10/2022
Formalización:18/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
232,"A31/2022/69
Contratación del de mantenimiento del software Proactivanet.","Servicios
Otros servicios",Resuelta,"29.030,33","Publicación PLACSP:
Adjudicación:08/11/2022
Formalización:18/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
233,"526/2020/67
Ejecución de las obras descritas en el Proyecto denominado “Reforma Integral de Edificio para Centro Cívico Municipal en O Birloque”. Cofinanciadas en un 80% por el Fondo Europeo de Desarrollo Regional (FEDER) en el marco del Programa Operativo Plurirregional de España 2014-2020","Obras
Construcción",Resuelta,"659.437,29","Publicación PLACSP:
Adjudicación:28/09/2022
Formalización:17/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
234,"525/2021/30
Explotación Del Espacio De Dominio Público En El Mercado De San Agustín, Para Su Dinamización A Través De La Organización De Mercadillos Y Ferias, Así Como Actividades Complementarias.",Administrativo especial,Parcialmente Resuelta,"0,00","Publicación PLACSP:
Adjudicación:24/01/2022
Formalización:17/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
235,"106/2022/163
Ejecución de las obras descritas en el Proyecto Mejora de la Accesibilidad del espacio público en el entorno de la muralla de A Coruña.","Obras
Construcción",Resuelta,"295.783,89","Publicación PLACSP:
Adjudicación:10/11/2022
Formalización:15/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
236,"238/2022/406
Procedimiento simplificado abreviado para la contratación servicio de seguro colectivo de accidentes y defensa jurídica para el personal voluntario que realice labores dentro de los diferentes programas de voluntariado llevados a cabo por el Ayuntamiento de A Coruña.","Servicios
Otros servicios",Adjudicada,"3.000,00","Publicación PLACSP:
Adjudicación:08/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
237,"525/2022/10
Concesiones administrativas para la utilización privativa y explotación de 5 puestos en el mercado municipal de Adormideras.",Administrativo especial,Resuelta,"0,00","Publicación PLACSP:
Adjudicación:03/11/2022
Formalización:10/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
238,"851/2022/52
Servicios de diversas actuaciones complementarias a la zona de bajas emisiones de A Coruña (zbecor), destinadas a la mejora de la evaluación ambiental de este entorno: análisis de situación de partida, modelos de dispersión de contaminación y de actualización dinámica de ruido con cargo a los fondos del Plan Nacional de Recuperación, Transformación y Resiliencia, financiados por la Unión Europea (NEXT GENERATION).","Servicios
Otros servicios",Resuelta,"158.590,18","Publicación PLACSP:
Adjudicación:27/09/2022
Formalización:10/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
239,"GEY/2022/120
Servicios de Mantenimiento y Funcionamiento de los relojes monumentales del Ayuntamiento de A Coruña","Servicios
Servicios de mantenimiento y reparación",Adjudicada,"22.983,08","Publicación PLACSP:
Adjudicación:09/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
240,"525/2022/60
Obras descritas en el Proyecto Básico y de Ejecución de reforma de la plaza, mercado y escuela infantil de Monte Alto. (Solicitud de Cofinanciación en trámite con cargo a los fondos procedentes del Plan de Recuperación, Transformación y Resiliencia, Financiado Por la Unión Europea- Next Generation)","Obras
Construcción",Resuelta,"8.601.558,55","Publicación PLACSP:
Adjudicación:06/10/2022
Formalización:04/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
241,"851/2022/47
Suministro de sistemas de puntos de medida (Sensores - Deep learning) y sistemas de radares (enforcement) para complementar la implantación de la zona de bajas emisiones en A Coruña, en el marco del Plan de Recuperación, Transformación y Resiliencia - Fondos Next Generation, financiado por la Unión Europea.","Suministros
Adquisición",Resuelta,"1.199.152,93","Publicación PLACSP:
Adjudicación:28/09/2022
Formalización:04/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
242,"111/2022/108
Coordinación de seguridad y salud de las obras de reforma de la plaza, mercado y escuela infantil de Monte Alto","Servicios
Otros servicios",Resuelta,"50.000,00","Publicación PLACSP:
Adjudicación:02/11/2022
Formalización:04/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
243,"831/2022/58
Procedimiento simplificado abreviado para el Servicio de Mantenimiento de las instalaciones de calefacción y agua caliente del parque de bomberos","Servicios
Servicios de mantenimiento y reparación",Adjudicada,"1.652,89","Publicación PLACSP:
Adjudicación:02/11/2022",Junta de Gobierno del Ayuntamiento de A Coruña
244,"GEY/2022/41
Procedimiento simplificado abreviado para el Servicio de conservación y mantenimiento de los grupos electrógenos del Palacio Municipal de María Pita y el Fórum Metropolitano","Servicios
Servicios de mantenimiento y reparación",Adjudicada,"8.841,60","Publicación PLACSP:
Adjudicación:25/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
245,"244/2022/892
Procedimiento abierto simplificado abreviado para contratar el servicio de organización del Foro de comercio de proximidad, consumo responsable, alimentación y hábitos saludables","Servicios
Otros servicios",Adjudicada,"21.630,51","Publicación PLACSP:
Adjudicación:24/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
246,"861/2022/68
Procedimiento simplificado abreviado para contratar, por lotes, el servicio de mantenimiento y reparación de elementos de comunicaciones, señalización, lavados y pinchazos de los vehículos de la Policía Local.","Servicios
Servicios de mantenimiento y reparación",Adjudicada,"14.876,03","Publicación PLACSP:
Adjudicación:20/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
247,"244/2022/600
Procedimiento simplificado abreviado para contratar la prestación del servicio para la gestión íntegra de la actividad municipal “Comparte tus juguetes en La Casa de Juguetes”","Servicios
Otros servicios",Adjudicada,"14.291,18","Publicación PLACSP:
Adjudicación:18/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
248,"106/2022/14
Servicio de monitorización energética de edificios residenciales en A Coruña, cofinanciado en su primera fase un 80% por el Fondo Europeo de Desarrollo Regional (FEDER) en el marco del Eje 12 de Desarrollo Urbano del Programa Operativo Plurirregional de España.","Servicios
Otros servicios",Resuelta,"394.900,00","Publicación PLACSP:
Adjudicación:14/09/2022
Formalización:22/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
249,"A31/2022/55
Soporte Integral de las plataformas ""Sistemas de Gestión de la formación"" y ""Sistema de control de puestos""","Servicios
Servicios de mantenimiento y reparación",Resuelta,"6.000,00","Publicación PLACSP:
Adjudicación:10/10/2022
Formalización:21/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
250,"640/2022/565
Obras comprendidas en el proyecto de demolición con mantenimiento de fachada y tratamiento de medianeras de la edificación sita en C/ Santa Lucía, 8","Obras
Demolición de inmuebles y movimientos de tierras",Adjudicada,"121.618,00","Publicación PLACSP:
Adjudicación:19/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
251,"AD0/2021/63
Servicio para la realización del análisis de la situación actual de la organización y relación de puestos de trabajo del ayuntamiento de a coruña, posterior elaboración de la valoración de los puestos de trabajo y propuesta resultante de modificación de la relación de puestos de trabajo","Servicios
Otros servicios",Resuelta,"123.909,61","Publicación PLACSP:
Adjudicación:02/06/2022
Formalización:18/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
252,"851/2022/48
Suministro, instalación y puesta en marcha de una serie de equipamiento complementario a la implantación de la Zona de Bajas Emisiones para la modernización del Sistema de información de la Calidad Ambiental de A Coruña, por Lotes, en el marco del Plan Nacional de Recuperación, Transformación y Resiliencia-Fondos Next Generation, financiado por la Unión Europea.","Suministros
Adquisición",Parcialmente Resuelta,"541.409,82","Publicación PLACSP:
Adjudicación:14/09/2022
Formalización:15/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
253,"521/2021/726
Plan de Humanización y Naturalización del Paseo Marítimo de A Coruña. Obras incluidas en el Proyecto Eidus Coruña, financiado en un 80 % por el Fondo Europeo de Desarrollo Regional (FEDER) en el marco del Programa Operativo Plurirregional de España 2014-2020","Obras
Construcción",Resuelta,"2.564.954,93","Publicación PLACSP:
Adjudicación:06/10/2022
Formalización:11/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
254,"236/2022/106
Servicio de apoyo a la celaduría en los Centros de Educación Infantil y Primaria de A Coruña,","Servicios
Otros servicios",Resuelta,"47.057,85","Publicación PLACSP:
Adjudicación:04/10/2022
Formalización:10/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
255,"521/2022/574
Procedimiento abierto simplificado abreviado para contratar el suministro y colocación de placas identificativas del callejero urbano en función de las necesidades","Suministros
Adquisición",Adjudicada,"19.816,80","Publicación PLACSP:
Adjudicación:05/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
256,"851/2022/49
Suministro de bicicletas con asistencia al pedaleo (eléctricas) para la ciudad de A Coruña, en el marco del Plan Nacional de Recuperación, Transformación y Resiliencia - Fondos Next Generation, financiado por la Unión Europea.","Suministros
Adquisición",Resuelta,"245.454,55","Publicación PLACSP:
Adjudicación:08/09/2022
Formalización:08/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
257,"238/2022/442
Ejecución de las obras descritas en el proyecto de Acondicionamiento de las naves de Metrosidero, antigua Comandancia militar de obras, a partir del estudio de las necesidades detectadas en el proceso participativo","Obras
Construcción",Resuelta,"496.173,05","Publicación PLACSP:
Adjudicación:28/09/2022
Formalización:06/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
258,"541/2022/1700
Procedimiento simplificado abreviado para el Suministro y colocación de 7 escaleras de aluminio para acceso a nichos en el cementerio municipal de San Amaro","Suministros
Adquisición",Adjudicada,"24.793,39","Publicación PLACSP:
Adjudicación:05/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
259,"861/2022/99
Procedimiento simplificado abreviado Servicio de Mantenimiento de extintores situados en los vehículos y edificios de la Policía Local","Servicios
Servicios de mantenimiento y reparación",Adjudicada,"909,09","Publicación PLACSP:
Adjudicación:03/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
260,"A31/2021/37
Servicio de desarrollo de un sistema de servicios digitales de gestión de ayudas, en el ámbito de los servicios sociales, susceptible de financiación, como parte de la respuesta de la Unión Europea a la pandemia de covid-19, en el marco del eje React UE o del programa Nextgeneration EU","Servicios
Servicios de telecomunicación",Resuelta,"191.250,00","Publicación PLACSP:
Adjudicación:22/09/2021
Formalización:04/10/2022",Junta de Gobierno del Ayuntamiento de A Coruña
261,"106/2022/145
Obras comprendidas en el Proyecto de ejecución de edificio de viviendas en la esquina situada en el nº 26 de la calle San Nicolás y en el nº 15 de la calle Marqués de Pontejos.","Obras
Construcción",Resuelta,"1.449.699,36","Publicación PLACSP:
Adjudicación:26/09/2022
Formalización:29/09/2022",Junta de Gobierno del Ayuntamiento de A Coruña
262,"230/2022/55
Procedimiento simplificado abreviado para contratar el suministro mediante la modalidad de renting de una furgoneta acondicionada para el transporte de fauna viva con destino al Aquarium Finisterrae- Museos Científicos","Suministros
Alquiler",Adjudicada,"9.676,80","Publicación PLACSP:
Adjudicación:23/09/2022",Junta de Gobierno del Ayuntamiento de A Coruña
263,"111/2022/85
Procedimiento simplificado abreviado Servicios de asistencia técnica para la coordinación de seguridad y salud de las obras de restauración de la Casa da Veeduría.","Servicios
Otros servicios",Adjudicada,"18.000,00","Publicación PLACSP:
Adjudicación:22/09/2022",Junta de Gobierno del Ayuntamiento de A Coruña
264,"105/2022/1688
Realización de talleres, actividades de conmemoración y fiestas en los Centros Cívicos Municipales de la Concejalía de Igualdad, Bienestar Social y Participación","Servicios
Otros servicios",Resuelta,"104.000,00","Publicación PLACSP:
Adjudicación:23/08/2022
Formalización:21/09/2022",Junta de Gobierno del Ayuntamiento de A Coruña
265,"111/2021/63
Ejecución de las obras comprendidas en el ""Proyecto de ejecución de restauración de la Casa de la Veeduría"" financiado por una ayuda del Ministerio de Transportes, Movilidad y Agenda Urbana, amparada en la Convocatoria del 1,5% Cultural, regulada mediante la Orden FOM 1932/2014 de 30 de septiembre","Obras
Construcción",Resuelta,"2.473.775,38","Publicación PLACSP:
Adjudicación:25/08/2022
Formalización:14/09/2022",Junta de Gobierno del Ayuntamiento de A Coruña
266,"526/2022/126
Procedimiento simplificado abreviado para el Servicio de impartición de Graduado en Educación Secundaria Obligatoria (ESA), acción formativa presencial del Servicio Municipal de Empleo y Empresa","Servicios
Servicios de educación y formación profesional",Adjudicada,"28.584,22","Publicación PLACSP:
Adjudicación:09/09/2022",Junta de Gobierno del Ayuntamiento de A Coruña
267,"541/2021/234
Alquiler y mantenimiento de aseos químicos para diferentes zona de la ciudad","Suministros
Alquiler",Resuelta,"470.543,03","Publicación PLACSP:
Adjudicación:03/08/2022
Formalización:11/09/2022",Junta de Gobierno del Ayuntamiento de A Coruña
268,"521/2018/40
Obras de remodelación de los cruces de las calles Ramón y Cajal y avenida del Ejército (cofinanciadas al 90% por los fondos procedentes del plan de recuperación, transformación y resiliencia, financiado por la Unión Europea - Next Generation)","Obras
Construcción",Adjudicada,"448.625,42","Publicación PLACSP:
Adjudicación:31/08/2022",Junta de Gobierno del Ayuntamiento de A Coruña
269,"GEY/2022/72
Obras comprendidas en el proyecto de reforma del registro y el archivo del Palacio municipal de María Pita","Obras
Construcción",Adjudicada,"762.064,55","Publicación PLACSP:
Adjudicación:31/08/2022",Junta de Gobierno del Ayuntamiento de A Coruña
270,"527/2020/69
Contrato para la dotación del equipamiento para la realización de ferias y mercados en la ciudad, cofinanciado en un 80% por el Fondo Europeo de Desarrollo Regional (FEDER) en el Marco del Programa Operativo Plurirregional de España 2014-2020","Suministros
Adquisición",Resuelta,"276.823,31","Publicación PLACSP:
Adjudicación:29/07/2022
Formalización:24/08/2022",Junta de Gobierno del Ayuntamiento de A Coruña
271,"521/2022/33
Suministro para la solución de movilidad eléctrica del Área de Infraestructuras mediante la modalidad de renting de ocho vehículos eléctricos y 8 puntos de recarga inteligente de interior","Suministros
Alquiler",Resuelta,"160.704,00","Publicación PLACSP:
Adjudicación:14/07/2022
Formalización:20/08/2022",Junta de Gobierno del Ayuntamiento de A Coruña
272,"525/2022/29
Procedimiento simplificado abreviado para el contrato por Lotes del Suministro y servicio de organización y realización de acciones para dinamización de los mercados municipales.","Servicios
Otros servicios",Adjudicada,"28.746,90","Publicación PLACSP:
Adjudicación:16/08/2022",Junta de Gobierno del Ayuntamiento de A Coruña
273,"GA2/2022/54
Trabajos de impresión, ensobrado y envío de una carta de la alcaldesa a las niñas y niños con motivo de la visita de los Reyes Magos a la ciudad de A Coruña.","Servicios
Otros servicios",Adjudicada,"11.238,92","Publicación PLACSP:
Adjudicación:12/08/2022",Junta de Gobierno del Ayuntamiento de A Coruña
274,"521/2020/955
Obras de Reurbanización de la Avenida Fernández Latorre, entre la Glorieta de Ramón y Cajal y la Calle Puga y Parga (Cofinanciadas al 90% por los fondos procedentes del Plan de Recuperación Transformación y Resilencia, Financiado por la Unión Europea- NEXT GENERATION)","Obras
Construcción",Resuelta,"629.347,70","Publicación PLACSP:
Adjudicación:03/08/2022
Formalización:16/08/2022",Junta de Gobierno del Ayuntamiento de A Coruña
